Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
IL21R,0.9348,0.747572,0.322721,-5.0578,0.118228,NM_021798.2,
CLEC4A,0.9352,0.7498255,0.319738,-5.0585,0.069429,NM_194448.2,
NFATC2,0.9352,0.7502725,-0.319147,-5.0586,-0.083955,NM_012340.3,
SMPD3,0.9354,0.7528925,0.315683,-5.0593,0.111966,NM_018667.3,
PSMB9,0.9354,0.7545437,0.313503,-5.0597,0.071259,NM_002800.4,
AMICA1,0.9354,0.7552124,0.31262,-5.0599,0.07577,NM_153206.2,NA
ICAM3,0.9354,0.7552458,-0.312576,-5.0599,-0.066036,NM_002162.3,
MR1,0.937,0.757955,0.309002,-5.0606,0.093577,NM_001531.2,
NEG_A,0.937,0.7589134,-0.307738,-5.0608,-0.066157,,ERCC_00096.1
ZC3H14,0.9376,0.7605778,-0.305546,-5.0613,-0.033029,NM_001160103.1,
LBP,0.9403,0.7672861,0.296723,-5.063,0.10581,NM_004139.2,
CD22,0.9403,0.7678464,0.295987,-5.0631,0.156122,NM_001771.2,
CD1B,0.9403,0.7697126,0.293537,-5.0635,0.062416,NM_001764.2,
CD55,0.9403,0.7701984,0.292899,-5.0637,0.079723,NM_000574.3,
IL5RA,0.9403,0.7712942,0.291462,-5.0639,0.079761,NM_000564.3,
CD200,0.9403,0.7731737,0.288998,-5.0644,0.105558,NM_005944.5,
ITGAX,0.9403,0.7741273,-0.287748,-5.0646,-0.065981,NM_000887.3,
DHX16,0.9403,0.774267,0.287566,-5.0647,0.027875,NM_001164239.1,
C1QBP,0.9403,0.7758638,0.285474,-5.065,0.036188,NM_001212.3,NA
TREM2,0.9403,0.7761672,0.285077,-5.0651,0.114485,NM_018965.3,
CCL14,0.9403,0.7769278,0.284082,-5.0653,0.116488,NM_032963.3,NA
FCER2,0.9403,0.7772063,0.283717,-5.0653,0.117841,NM_002002.4,
TNFSF12,0.9406,0.778631,-0.281854,-5.0657,-0.064844,NM_003809.2,
LY9,0.9408,0.7817471,0.277781,-5.0664,0.121942,NM_001033667.1,
TP53,0.9408,0.7843049,0.274441,-5.067,0.055586,NM_000546.2,
CD40LG,0.9408,0.7847966,0.273799,-5.0671,0.098696,NM_000074.2,
ZKSCAN5,0.9408,0.7849093,0.273652,-5.0671,0.048703,NM_014569.3,
IFIT2,0.9408,0.7874396,-0.270352,-5.0677,-0.104023,NM_001547.4,
CCR7,0.9408,0.7881242,0.26946,-5.0679,0.121913,NM_001838.2,NA
